,Words,Frequency
0,['Kiosk'],2
1,['Anita'],21
2,['Sommer'],29
3,"['Tür', 'Tür', 'Alice']",16
4,"['Mond', 'blühen', 'Rose']",18
5,"['Mußt', 'jetzt', 'grade', 'gehen', 'Lucille']",29
6,"['dabei', 'lieben', 'beide']",28
7,"['Lied', 'Schlümpfe']",48
8,"['Blue', 'Bayou']",26
9,"['Buenos', 'dias', 'Argentina']",18
10,"['fragen', 'Schlumpf']",26
11,"['geh', 'doch']",21
12,"['Kreuzberger', 'Nacht']",24
13,"['manchmal', 'Weinst', 'sicher', 'paar', 'Träne']",32
14,"['Ruf', 'Teddybär', 'eins', 'vier']",25
15,[],811
16,"['We', 'Don', 'Talk', 'Anymore']",25
17,"['Lied', 'Manuel']",24
18,"['frei', 'willst']",17
19,"['Abschied', 'bißchen', 'sterben']",14
20,"['wild', 'wild', 'Westen']",18
21,['Nippel'],23
22,['geben'],22
23,"['Santa', 'Maria']",28
24,"['sieben', 'Brücke', 'mußt', 'gehn']",25
25,"['La', 'Provence', 'blühend', 'Land']",23
26,['Loreley'],17
27,"['Flieg', 'hoch', 'klein', 'Freund']",19
28,"['ja', 'Englein']",29
29,"['entschuldigen', 'kenn', 'di']",19
30,['Kommissar'],26
31,"['lieb', 'Gott']",29
32,"['Polonäse', 'Blankenese']",19
33,"['Skandal', 'Sperrbezirk']",32
34,['Albany'],16
35,"['bißchen', 'Frieden']",23
36,['Schickeria'],25
37,"['leiben', 'liebst', 'aha', 'aha', 'aha']",25
38,['Rosemarie'],21
39,['Sommersprossen'],18
40,['Carbonara'],22
41,"['wissen', 'Bescheid', 'weißen', 'Bescheid']",12
42,"['Adios', 'Amor']",36
43,"['di', 'mog']",23
44,"['nur', 'träumen']",36
45,"['Arrivederci', 'Claire']",20
46,['schaun'],17
47,"['Major', 'Tom', 'völlig', 'losgelösen']",19
48,"['', 'Luftballon']",25
49,"['Hallo', 'Klaus', 'wü', 'nur', 'zruck']",22
50,['Rücksicht'],9
51,"['Sennerin', 'Königsee']",17
52,['Bruttosozialprodukt'],18
53,['lieben'],112
54,"['Codo', 'Düse', 'Sauseschritt']",16
55,"['Wüste', 'leben', 'Alarmsignal']",14
56,"['Alpen', 'Rap']",7
57,"['san', 'bayrisch', 'Band']",15
58,"['je', 'suis', 'tu', 'deutsch', 'Version']",7
59,"['Herz', 'Trumpf', 'rufst']",17
60,['Fragezeichen'],17
61,"['Turaluraluralu', 'machen', 'BuBu', 'machen']",10
62,['Eden'],21
63,['Marie'],6
64,"['Hello', 'Again']",16
65,['Feuer'],31
66,"['Pfüati', 'Gott', 'Elisabeth']",7
67,['Rette'],19
68,"['wollen', 'wissen', 'heißen']",9
69,"['Abschied', 'scharf', 'Schwert']",16
70,"['Engel', '']",11
71,"['irgendwie', 'irgendwo', 'irgendwann']",33
72,['Fürstenfeld'],9
73,"['Feel', 'For', 'You']",11
74,"['nackt', 'Wind']",7
75,['Sehnsucht'],55
76,"['weiß', 'Blatt', 'Papier']",6
77,"['Feuer', 'Flamm']",11
78,['Samurai'],24
79,"['Vienna', 'Calling']",14
80,"['Jeanny', 'Part']",18
81,['Nordseeküste'],27
82,"['schlaf', 'heuen', 'Nacht']",16
83,"['Jeannie', 'rein', 'Wahrheit']",8
84,['Geil'],35
85,['tausendmal'],12
86,"['Coming', 'Home', 'Jeanny', 'Part', '', 'Jahr', 'danach']",13
87,"['Stern', 'Athen', '', '', '', '', 'Monat']",16
88,"['Küss', 'Hand', 'schön', 'Frau']",17
89,"['lang', 'Traum', 'noch', 'leben', 'können']",15
90,['Copacabana'],28
91,"['Macho', 'Macho']",26
92,"['können', 'Schwachsinn', 'Sünde']",10
93,"['Tango', 'Korrupti']",11
94,['Enzian'],12
95,"['Pump', 'Bier']",12
96,"['Ding', 'Dong']",17
97,"['hier', 'kommen', 'Kurt']",16
98,"['Verdammt', 'leiben']",40
99,"['erster', 'Mal', 'tat', 'noch', 'weh']",24
100,['träumen'],24
101,['Beinhart'],20
102,['freuen'],15
103,"['Liebe', 'erster', 'Blick']",13
104,['jambo'],8
105,['Millionär'],18
106,"['Sascha', 'aufrecht', 'deutsche']",21
107,['Saft'],11
108,['Küssen'],7
109,['wünsch'],11
110,"['Geil', 'Welt']",10
111,"['zwei', 'allein']",8
112,"['nur', 'klauen']",22
113,['Liebe'],126
114,['Mädchen'],35
115,"['Hey', 'Süsser']",11
116,"['Berg', 'rufen']",21
117,"['Be', 'My', 'Lover']",23
118,"['mussen', 'Schwein']",18
119,['Computerlieb'],20
120,"['Mief', 'Nimm', 'jetzt', 'stinken']",17
121,"['klein', 'Maus']",14
122,"['Song', 'namens', 'Schund']",18
123,['weg'],19
124,"['Insel', 'zwei', 'Berg']",28
125,['Hurra'],12
126,"['bleiben', 'Ewigkeit']",9
127,"['find', 'scheiß']",18
128,['populär'],5
129,"['siehst', 'Sonne']",7
130,"['Herz', 'Herz']",15
131,"['hier', 'kommen', 'Maus']",14
132,['Funky'],13
133,"['Kleiner', 'Satellit', 'Piep', 'Piep']",13
134,['Jein'],27
135,['Frühlingsgefühle'],7
136,"['Mutter', 'Mann', 'Koks']",16
137,"['', 'Tage', 'Bart']",7
138,"['Sexy', 'Eis']",13
139,['Boomerang'],16
140,['Freedom'],5
141,"['zehn', 'klein', 'Jägermeister']",20
142,[''],228
143,['Verpiss'],22
144,"['Gott', 'Kind']",5
145,"['Gibt', 'doch', 'gar']",15
146,"['Oh', 'Shit', 'Frau', 'Schmidt']",14
147,['liebst'],22
148,['Engel'],46
149,['glaubst'],8
150,"['Mr', 'Wichtig']",14
151,['Anna'],16
152,"['gib', 'noch']",12
153,['fehlst'],17
154,"['klein', 'Schwester']",15
155,"['nur', 'noch', '', 'Tag', 'leben']",8
156,['nur'],47
157,['Rückenwind'],12
158,"['Out', 'Of', 'The', 'Dark']",23
159,"['bleiben', 'anders']",11
160,"['Willst', 'geh']",2
161,"['Schwein', 'namens', 'Mann']",23
162,['solo'],14
163,"['Guildo', 'leiben']",14
164,"['blau', 'Auge']",9
165,['Flut'],29
166,"['wieder', 'hier']",24
167,"['Wish', 'Komm']",17
168,['Egoist'],18
169,"['Halt', 'Liebe', 'fest']",8
170,"['Flugzeug', 'Bauch']",26
171,['vorbei'],31
172,"['Führ', 'Licht']",11
173,['Wish'],12
174,['Vater'],38
175,['jetzt'],52
176,['Regenbög'],12
177,"['wollen', 'Leben']",6
178,['Glockenspiel'],8
179,"['Liebes', 'Lied']",14
180,"['nie', 'wieder']",14
181,"['lang', 'Single', 'Welt', 'Teil', '']",20
182,"['MfG', 'freundlich', 'Grüße']",14
183,['sehen'],20
184,"['wollen', 'raus', 'Sehnsucht', '']",12
185,"['Halt', 'Maul']",15
186,['Esperanto'],1
187,"['Heut', 'Tag']",4
188,['Richtige'],6
189,"['trägstn', 'Liebe']",17
190,['leb'],6
191,['gehst'],41
192,['leise'],14
193,"['Gimm', 'All', 'Your', 'Lovin', '']",4
194,['Schön'],8
195,"['immer', 'wieder']",25
196,"['Millennium', 'Countdown', 'laufen']",13
197,"['Dragan', 'Alder', 'Weihnachtsmedley']",6
198,['Ruhe'],9
199,['Weinst'],10
200,"['Adler', 'sollen', 'fliegen']",6
201,"['niemals', 'mehr']",5
202,['Stern'],29
203,"['Dunkler', 'Ort']",8
204,['Unsterblich'],5
205,"['Sex', 'Control']",3
206,['Liebesbrief'],10
207,"['Tabula', 'Rasa', 'Pt', 'II']",7
208,"['We', 'Are', 'Strong']",1
209,"['Anton', 'Tirol']",30
210,['schlaflos'],7
211,"['Nomine', 'wissen', 'tun']",3
212,['Bayern'],12
213,['Leb'],11
214,"['Take', 'My', 'Heart']",18
215,"['vermiss', 'Hölle']",13
216,['draussen'],9
217,"['Wadde', 'hadde', 'dudde']",7
218,"['Partyalarm', 'geht']",5
219,"['wollen', 'nur']",11
220,"['Gemma', 'Bier', 'trinken']",11
221,"['Bon', 'voyagen']",13
222,"['Liebe', 'echt']",4
223,"['groß', 'Bruder']",14
224,['Junimond'],11
225,['Strasse'],11
